COMPANY NAME,ADDRESS,CATEGORY,START DATE,EXPIRY DATE
Virtual Advance System PVT Limited ( Formerly Project Support Services Limited),"No. 20B, Katsina-Ala Crescent, Maitama, Abuja.",VAS Aggregator  ,01/03/2021,28/02/2026
Innovative Cell Multimedia Limited,"Block C, Flat 21, 12th Floor, Eko Court Complex, 175/178 Kofo Abayomi Street, Victoria Island, Lagos.",VAS Aggregator  ,01/03/2024,28/02/2029
Nina-Jojer Limited,"11a Chris Efuyemi Onanuga Street,  Off Omorire Johnson Street,  Lekki Phase 1",VAS Aggregator  ,01/03/2024,28/02/2029
Nitroswitch Limited,"952/953 Idejo Street, Off Adeola Odeku, Victoria Island, Lagos",VAS Aggregator  ,01/03/2024,28/02/2029
HML Consulting Limited,"Suite 401, 4th Floor, Kings Plaza, Kado, Abuja.",VAS Aggregator  ,01/03/2024,28/02/2029
Iykejordan Ltd,"No 21 Muhammed Awwal Ibrahim Street, Jahi Cadastral Zone, Abuja.",VAS Aggregator  ,01/03/2024,28/02/2029
Perpetual Communications Limited,"YMCA BUILDING, 77 AWOLOWO RD, IKOYI, LAGOS",VAS Aggregator  ,01/03/2024,28/02/2029
Mobile Intelligence Limited,"12 LANDBRIDGE AVENUE, ONIRU ESTATEVICTORIA ISLAND, ETI-OSA, LAGOS STATE",VAS Aggregator  ,01/03/2024,28/02/2029
Briccs International Ideal Limited,"39D SHAKIRU ANJORIN STREET, LEKKI PHASE 1. LAGOS ",VAS Aggregator  ,01/10/2025,30/09/2030
Broadbased Communications Ltd,"12TH FLOOR, NECOM HOUSE, 15 MARINA ROAD, LAGOS STATE",VAS Aggregator  ,01/10/2025,30/09/2030
Groove Platforms Limited,"46, Oyibo Adjarho Street, Lekki Phase 1, Lagos.",VAS Aggregator  ,01/03/2021,28/02/2026
Tpay Telecomm Services Limited,"7B, Olu Holloway Road, Ikoyi, Lagos.",VAS Aggregator  ,01/10/2021,30/09/2026
Celluloid Limited,"Plot 2, WEMPCO Road, Ogba, Ikeja, Lagos.",VAS Aggregator  ,01/04/2022,31/03/2027
