S/N,Licensee,Numbering Area,Area Code,National Destination Code (NDC),National (Significant) Number (N(S)N),Total Numbers
1,101 Communications Limited,Lagos,0201,201,201249XXXX,10000
2,21st Century Technologies Limited,Lagos,0201,201,201224XXXX,10000
3,21st Century Technologies Limited,Lagos,0201,201,201225XXXX,10000
4,21st Century Technologies Limited,Lagos,0201,201,201226XXXX,10000
5,21st Century Technologies Limited,Lagos,0201,201,201235XXXX,10000
6,21st Century Technologies Limited,Lagos,0201,201,201236XXXX,10000
7,21st Century Technologies Limited,Lagos,0201,201,201270XXXX,10000
8,21st Century Technologies Limited,Lagos,0201,201,201271XXXX,10000
9,21st Century Technologies Limited,Lagos,0201,201,201277XXXX,10000
10,21st Century Technologies Limited,Lagos,0201,201,201278XXXX,10000
11,21st Century Technologies Limited,Lagos,0201,201,201279XXXX,10000
12,21st Century Technologies Limited,Lagos,0201,201,201280XXXX,10000
13,21st Century Technologies Limited,Lagos,0201,201,201422XXXX,10000
14,21st Century Technologies Limited,Lagos,0201,201,201423XXXX,10000
15,21st Century Technologies Limited,Lagos,0201,201,201448XXXX,10000
16,21st Century Technologies Limited,Abuja,0209,209,209277XXXX,10000
17,21st Century Technologies Limited,Abuja,0209,209,2092780XXX,1000
18,21st Century Technologies Limited,Abeokuta,02039,2039,2039270YXX,500
19,21st Century Technologies Limited,Warri,02053,2053,2053270XXX,1000
20,21st Century Technologies Limited,Kaduna,02062,2062,2062270XXX,1000
21,21st Century Technologies Limited,Kano,02064,2064,2064270XXX,1000
22,21st Century Technologies Limited,Port Harcourt,02084,2084,2084270XXX,1000
23,21st Century Technologies Limited,Port Harcourt,02084,2084,208428XXXX,10000
24,Airtel Networks Limited,National,0701,701,701XXXXXXX,10000000
25,Airtel Networks Limited,National,0708,708,708XXXXXXX,10000000
26,Airtel Networks Limited,National,0802,802,802XXXXXXX,10000000
27,Airtel Networks Limited,National,0808,808,808XXXXXXX,10000000
28,Airtel Networks Limited,National,0812,812,812XXXXXXX,10000000
29,Airtel Networks Limited,National,0901,901,901XXXXXXX,10000000
30,Airtel Networks Limited,National,0902,902,902XXXXXXX,10000000
31,Airtel Networks Limited,National,0904,904,904XXXXXXX,10000000
32,Airtel Networks Limited,National,0907,907,907XXXXXXX,10000000
33,Airtel Networks Limited,National,0911,911,911XXXXXXX,10000000
34,Airtel Networks Limited,National,0912,912,912XXXXXXX,10000000
35,Airworld Technologies Limited,Abuja,0209,209,209450XXXX,10000
36,Alpha Technologies Ltd,National,0700 shared,700,7000WXXXXX,650000
37,Alpha Technologies Ltd,National,0800 shared,800,80000XXXXX,100000
38,Alpha Technologies Ltd,National,0700 shared,700,70022XXXXX,25000
39,Alpha Technologies Ltd,National,0700 shared,700,70070XXXXX,25000
40,Big Picture Nigeria Limited,Lagos,0201,201,201520XXXX,10000
41,Big Picture Nigeria Limited,Lagos,0201,201,201521XXXX,10000
42,Big Picture Nigeria Limited,Lagos,0201,201,201522XXXX,10000
43,Big Picture Nigeria Limited,Lagos,0201,201,201523XXXX,10000
44,Big Picture Nigeria Limited,Lagos,0201,201,201524XXXX,10000
45,Big Picture Nigeria Limited,Lagos,0201,201,201525XXXX,10000
46,Big Picture Nigeria Limited,Lagos,0201,201,201526XXXX,10000
47,Big Picture Nigeria Limited,Lagos,0201,201,201527XXXX,10000
48,Big Picture Nigeria Limited,Lagos,0201,201,201528XXXX,10000
49,Big Picture Nigeria Limited,Lagos,0201,201,201529XXXX,10000
50,BillyRonks Global Limited,Lagos,0201,201,201370XXXX,10000
51,BillyRonks Global Limited,Lagos,0201,201,201371XXXX,10000
52,BillyRonks Global Limited,Lagos,0201,201,201372XXXX,10000
53,BillyRonks Global Limited,Lagos,0201,201,201373XXXX,10000
54,BillyRonks Global Limited,Lagos,0201,201,201374XXXX,10000
55,BillyRonks Global Limited,Abuja,0209,209,209370XXXX,10000
56,BillyRonks Global Limited,Abuja,0209,209,209371XXXX,10000
57,BillyRonks Global Limited,Abuja,0209,209,209372XXXX,10000
58,BillyRonks Global Limited,National,0700 shared,700,700133XXXX,10000
59,BillyRonks Global Limited,National,0800 shared,800,800133XXXX,10000
60,Brass-Wave Global Limited,Port Harcourt,02084,2084,208463XXXX,10000
61,Bricklinks Africa Plc,Abuja,0209,209,209320XXXX,10000
62,Bricklinks Africa Plc,Lagos,0201,201,201320XXXX,10000
63,Broadbased Communications Ltd,Lagos,0201,201,201227XXXX,10000
64,Broadbased Communications Ltd,Lagos,0201,201,201228XXXX,10000
65,BrowsePoint Telecom Nigeria Limited,Kano,02064,2064,206459XXXX,10000
66,BrowsePoint Telecom Nigeria Limited,Kano,02064,2064,206460XXXX,10000
67,BrowsePoint Telecom Nigeria Limited,Kano,02064,2064,206461XXXX,10000
68,BrowsePoint Telecom Nigeria Limited,Kano,02064,2064,206462XXXX,10000
69,CallMe Nigeria Limited,National,0700 shared,700,70081XXXXX,100000
70,CallMe Nigeria Limited,National,0800 shared,800,80081XXXXX,100000
71,Cedarview Communications Limited,National,0700 shared,700,700123YXXX,5000
72,Cedarview Communications Limited,National,0700 shared,700,700061XXXX,10000
73,Cedarview Communications Limited,National,0800 shared,800,8001235XXX,1000
74,Cedarview Communications Limited,National,0800 shared,800,800061XXXX,10000
75,Cloudtalk Networks Limited,National,0700 shared,700,700140XXXX,10000
76,Cloudtalk Networks Limited,National,0700 shared,700,700141XXXX,10000
